,,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Percentage,Type
8,out/8LabelMapVolume_5out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,185.1642336,186,129,243,445.1372609,0.156356145,2.44394313,0.167150519,2.99323939,0.828515912,0.362480371,0.766371809,0.167166088,Normal
8,out/8LabelMapVolume_6out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,146.9343066,144,111,193,248.7402099,0.334470938,2.417484972,0.254254098,2.527688492,0.835224908,0.356110106,0.585036863,0.24246529,Normal
8,out/8LabelMapVolume_7out.nrrd,"(256, 256, 1)",96.57841492,0,1017,275,86.12,82,42,153,506.7892364,0.600693432,2.892184173,0.144502957,3.244124677,0.781925942,0.5151623,0.72752107,14.64407477,Grasa
8,out/8LabelMapVolume_8out.nrrd,"(256, 256, 1)",96.57841492,0,1017,276,58.14492754,59,26,83,111.305083,-0.254301039,2.674986804,0.40622518,1.84444743,0.862333076,0.280172558,0.380224708,0.446378994,Normal
9,out/9LabelMapVolume_1out.nrrd,"(512, 512, 1)",97.69027328,0,1711,819,139.010989,139,105,193,186.1232004,0.164017049,3.028695683,0.337877232,2.13605298,0.902323271,0.195353458,0.740744958,6.073121406,Grasa
9,out/9LabelMapVolume_2out.nrrd,"(512, 512, 1)",97.69027328,0,1711,820,103.497561,103,81,146,76.82804283,0.738511747,4.396827082,0.358979756,1.811674621,0.891884351,0.216231298,0.576018694,6.251690789,Grasa
9,out/9LabelMapVolume_3out.nrrd,"(512, 512, 1)",97.69027328,0,1711,818,110.2066015,105,68,241,554.6993696,2.850286817,12.78079735,0.293804218,2.59714803,0.843559774,0.349342968,0.824364318,6.443364161,Grasa
9,out/9LabelMapVolume_4out.nrrd,"(512, 512, 1)",97.69027328,0,1711,819,104.6593407,105,69,142,154.661729,-0.036301291,3.268201986,0.330264336,2.124603489,0.881485836,0.237028329,0.648629612,6.100885876,Grasa
9,out/9LabelMapVolume_5out.nrrd,"(512, 512, 1)",97.69027328,0,1711,819,240.3321123,247,147,306,1301.066747,-0.158201096,1.800213839,0.105869582,3.656515195,0.829253554,0.375553711,0.912384651,2.917621706,Normal
9,out/9LabelMapVolume_6out.nrrd,"(512, 512, 1)",97.69027328,0,1711,819,147.6581197,146,109,203,224.5961825,0.374143137,3.127716925,0.312582063,2.19025441,0.898522936,0.205288759,0.741114051,5.900342863,Grasa
9,out/9LabelMapVolume_7out.nrrd,"(512, 512, 1)",97.69027328,0,1711,818,129.6344743,130,99,168,141.1438971,-0.049932911,2.579615926,0.331025637,2.014289731,0.87773765,0.246083142,0.575234339,6.596824632,Grasa
9,out/9LabelMapVolume_8out.nrrd,"(512, 512, 1)",97.69027328,0,1711,820,23.00731707,22,6,59,68.16580012,0.882770454,3.888480209,0.326391136,1.845708892,0.85317778,0.295196833,0.390776949,9.118894057,Grasa
10,out/10LabelMapVolume_1out.nrrd,"(512, 512, 1)",88.09988785,0,1055,991,110.6569122,111,81,145,117.3716954,-0.049960211,2.819821921,0.426696499,1.872736731,0.884809321,0.232299654,0.528432406,0.829600796,Normal
10,out/10LabelMapVolume_2out.nrrd,"(512, 512, 1)",88.09988785,0,1055,992,145.3629032,145,107,187,186.0275754,0.122178284,2.62791036,0.297452871,2.223639942,0.876852812,0.248211309,0.656421456,0.323342265,Normal
10,out/10LabelMapVolume_3out.nrrd,"(512, 512, 1)",88.09988785,0,1055,991,131.4561049,134,74,179,447.2228462,-0.335635524,2.532530699,0.188905988,2.850442665,0.867431368,0.265137263,0.83200156,2.063246641,Normal
10,out/10LabelMapVolume_4out.nrrd,"(512, 512, 1)",88.09988785,0,1055,990,102.2383838,102,74,133,78.98963779,-0.052209509,3.026323919,0.344201185,1.799277554,0.877527081,0.244945839,0.495409928,0.430060606,Normal
10,out/10LabelMapVolume_5out.nrrd,"(512, 512, 1)",88.09988785,0,1055,990,104.5060606,106,71,130,132.5226905,-0.365562854,2.616688583,0.364203996,1.899461003,0.894125079,0.2123895,0.614774005,0.031118048,Normal
10,out/10LabelMapVolume_6out.nrrd,"(512, 512, 1)",88.09988785,0,1055,992,115.84375,114,76,158,207.6540134,0.439940262,2.922216875,0.32496404,2.248092026,0.886703299,0.227871357,0.71320367,3.370311632,Normal
10,out/10LabelMapVolume_7out.nrrd,"(512, 512, 1)",88.09988785,0,1055,990,122.0656566,122,79,155,124.6512448,0.001718508,3.675725707,0.317806121,2.026792197,0.879849074,0.24094151,0.600028486,0.540518639,Normal
10,out/10LabelMapVolume_8out.nrrd,"(512, 512, 1)",88.09988785,0,1055,988,132.9230769,133,96,175,139.4961071,0.002286258,2.722596804,0.352207395,2.04492081,0.886823743,0.226352513,0.634367593,0.618050267,Normal
11,out/11LabelMapVolume_1out.nrrd,"(512, 512, 1)",78.86687088,0,1349,943,137.5196182,138,97,182,305.7957445,0.024239229,2.165150735,0.239085942,2.39998112,0.905780155,0.188439689,0.836682729,0.908156271,Normal
11,out/11LabelMapVolume_2out.nrrd,"(512, 512, 1)",78.86687088,0,1349,944,124.5815678,123,85,171,302.3958891,0.157263903,2.337487616,0.270312193,2.399927465,0.897287271,0.205425458,0.799519759,2.247030799,Normal
11,out/11LabelMapVolume_3out.nrrd,"(512, 512, 1)",78.86687088,0,1349,943,136.2566278,135,97,190,235.6944815,0.239230221,2.898363625,0.302884105,2.27478463,0.897315381,0.205369238,0.762743054,2.130647037,Normal
11,out/11LabelMapVolume_4out.nrrd,"(512, 512, 1)",78.86687088,0,1349,942,103.9660297,104,84,127,48.34916449,0.021451756,2.963082862,0.455697222,1.504067175,0.900787285,0.198425431,0.487688295,0.185360391,Normal
11,out/11LabelMapVolume_5out.nrrd,"(512, 512, 1)",78.86687088,0,1349,945,119.4888889,118,91,150,113.1832099,0.313441476,2.821951596,0.398915552,1.741906278,0.902755763,0.194488475,0.598414484,0.025094313,Normal
11,out/11LabelMapVolume_6out.nrrd,"(512, 512, 1)",78.86687088,0,1349,942,93.99363057,94,69,115,52.55834584,-0.00212839,2.661414354,0.479310818,1.481001747,0.90375053,0.192498941,0.481421739,0.271968474,Normal
11,out/11LabelMapVolume_7out.nrrd,"(512, 512, 1)",78.86687088,0,1349,945,98.85608466,99,64,133,130.5888122,0.089912152,3.199445128,0.287976278,2.128945621,0.867828044,0.265015054,0.584546445,1.933669153,Normal
